Espaço restante;Prioridade acumulada;Tempo de Execução
0;2369;0,009565
4;2914;0,008161
0;2842;0,008564
3;1915;0,009192
0;2620;0,010556
0;3828;0,008714
5;4410;0,008373
0;4070;0,009170
5;2607;0,008496
7;2842;0,008308
0;1911;0,009177
0;1776;0,008240
5;4275;0,008160
6;1820;0,008586
7;2784;0,007685
2;3474;0,007754
5;3267;0,008491
2;3927;0,008460
0;2750;0,008644
5;3825;0,008814
0;3206;0,008807
0;3619;0,008379
8;3567;0,008936
4;2976;0,007967
5;1716;0,008010
0;4550;0,009156
0;1856;0,007785
1;2306;0,007988
10;3010;0,008747
5;2871;0,007501
0;4950;0,008247
1;2071;0,008771
0;2693;0,008725
10;3395;0,012238
1;2422;0,008309
0;2500;0,008512
6;2314;0,007281
6;2132;0,016173
4;2844;0,009247
5;3780;0,008476
5;3510;0,008710
6;1898;0,007885
0;2854;0,008514
6;2106;0,008775
5;3960;0,007979
6;3002;0,007756
0;3800;0,008665
0;3259;0,008395
6;3116;0,008726
1;3422;0,008744
0;4750;0,009867
8;4018;0,011466
2;2005;0,009052
2;3710;0,009943
0;4200;0,009501
0;2570;0,009946
5;3036;0,009633
0;4189;0,009840
0;2409;0,010537
0;3660;0,010647
0;3500;0,010951
10;2940;0,009137
0;3800;0,009655
4;3261;0,009116
10;2555;0,009314
7;2610;0,008750
0;3390;0,009910
1;3421;0,009626
8;4100;0,009845
1;3115;0,008499
0;2350;0,008391
0;2676;0,009126
0;1875;0,007307
5;4410;0,008757
5;4410;0,008093
8;3854;0,007529
0;3700;0,009375
0;4250;0,009051
5;3420;0,008971
1;2874;0,008113
1;2804;0,011938
0;2388;0,012370
0;4040;0,011437
1;2549;0,012102
1;2411;0,010508
5;2970;0,010129
2;2696;0,010259
0;2971;0,009012
0;3075;0,009036
1;3426;0,011527
4;2604;0,008864
8;3567;0,009605
0;3200;0,009914
0;4350;0,010490
1;3969;0,009999
0;3467;0,008212
0;4550;0,008911
8;3239;0,008668
2;1506;0,007739
0;2631;0,009193
12;198;0,008363
18;189;0,007822
86;198;0,008140
24;197;0,008662
70;198;0,008988
24;198;0,007553
26;198;0,008776
14;186;0,008499
64;200;0,010141
4;200;0,008397
2;162;0,008403
38;182;0,007928
20;182;0,008578
8;173;0,008868
3;168;0,008543
2;198;0,009414
14;166;0,007800
12;193;0,008865
22;196;0,008718
12;195;0,010781
62;196;0,008323
32;184;0,007714
52;198;0,010955
12;194;0,007941
62;200;0,008213
5;177;0,007717
3;198;0,009158
70;200;0,007648
52;198;0,007903
68;194;0,009715
12;200;0,008676
90;200;0,009447
11;191;0,008857
76;200;0,008610
46;200;0,009164
0;184;0,008366
26;200;0,009143
8;196;0,009471
58;200;0,009633
2;194;0,009311
16;184;0,008740
2;183;0,009844
100;198;0,008410
58;196;0,009484
23;187;0,009742
9;197;0,009254
50;198;0,008848
74;186;0,009157
92;200;0,009172
52;198;0,009333
60;186;0,009518
82;196;0,009231
62;196;0,008996
66;194;0,008414
92;184;0,008805
42;200;0,008203
54;192;0,008311
94;198;0,008593
10;190;0,009977
19;193;0,009134
14;168;0,008779
50;186;0,009899
4;198;0,009266
82;198;0,009554
56;192;0,009532
86;200;0,010474
54;198;0,009335
28;192;0,010088
34;180;0,011639
72;198;0,009254
26;198;0,010329
20;170;0,009094
22;200;0,009552
96;200;0,009701
10;185;0,007597
54;196;0,009070
10;199;0,007841
30;200;0,008251
10;200;0,008135
36;184;0,008383
2;186;0,008695
6;175;0,008666
14;192;0,008059
21;192;0,008935
10;175;0,008368
5;194;0,007681
31;183;0,009119
4;174;0,008533
12;196;0,008244
70;198;0,008921
18;195;0,009185
14;193;0,008271
64;200;0,009112
18;186;0,008870
37;175;0,009540
6;188;0,009604
76;184;0,008020
82;200;0,009006
98;200;0,009926
17;183;0,008532
0;4650;0,213756
0;4050;0,016476
0;3890;0,031702
1;4322;0,084488
0;4900;0,016137
0;4110;0,038828
0;4450;0,016213
0;5000;0,019199
0;4650;0,249726
0;4600;0,016081
1;4328;0,031081
0;4450;0,014389
1;4238;0,028998
0;4400;0,015302
0;4800;0,014901
1;4279;0,078560
