Espaço restante;Prioridade acumulada;Tempo de Execução
2;664;0,000014
5;396;0,000014
8;400;0,000011
0;798;0,000010
6;2600;0,000013
8;666;0,000010
8;600;0,000012
10;3395;0,000012
10;387;0,000016
1;767;0,000012
2;398;0,000015
4;1769;0,000011
6;395;0,000010
8;299;0,000016
2;990;0,000010
0;3447;0,000015
5;3267;0,000010
0;699;0,000014
6;2600;0,000010
1;589;0,000014
0;980;0,000010
2;688;0,000014
8;999;0,000010
8;782;0,000010
5;1485;0,000022
4;566;0,000013
4;586;0,000010
1;486;0,000018
1;389;0,000010
5;581;0,000010
6;1784;0,000011
2;2056;0,000010
8;384;0,000010
6;976;0,000011
3;494;0,000015
0;2500;0,000010
5;1089;0,000023
11;799;0,000011
12;478;0,000013
4;792;0,000011
0;500;0,000011
6;416;0,000011
3;463;0,000011
11;690;0,000012
3;679;0,000011
9;375;0,000010
4;676;0,000013
4;998;0,000010
6;479;0,000013
2;2355;0,000010
4;594;0,000014
10;1374;0,000013
3;493;0,000013
5;900;0,000013
4;684;0,000013
7;788;0,000012
2;2171;0,000010
1;299;0,000011
10;377;0,000014
8;1200;0,000013
3;627;0,000014
6;396;0,000044
6;476;0,000011
4;794;0,000011
9;700;0,000014
1;390;0,000010
6;775;0,000010
5;300;0,000013
8;4100;0,000014
2;592;0,000015
13;485;0,000014
8;564;0,000010
11;1195;0,000011
10;689;0,000010
5;4410;0,000014
5;594;0,000014
9;595;0,000011
2;578;0,000011
5;1154;0,000014
8;579;0,000011
4;773;0,000011
3;484;0,000015
0;588;0,000014
7;778;0,000013
5;665;0,000013
5;480;0,000013
0;570;0,000013
5;297;0,000013
6;1300;0,000016
2;678;0,000015
0;725;0,000014
5;787;0,000013
1;771;0,000013
0;781;0,000011
2;977;0,000011
0;1535;0,000016
4;1873;0,000013
3;588;0,000010
1;404;0,000010
9;480;0,000014
8;100;0,000011
61;100;0,000011
66;100;0,000011
11;100;0,000011
127;100;0,000014
24;198;0,000011
26;198;0,000011
18;100;0,000013
177;100;0,000013
4;200;0,000013
57;99;0,000013
43;100;0,000014
93;100;0,000011
129;100;0,000010
89;100;0,000014
8;100;0,000014
3;162;0,000013
194;99;0,000011
6;194;0,000015
12;195;0,000015
83;99;0,000010
11;100;0,000013
183;100;0,000010
173;98;0,000014
4;159;0,000017
59;99;0,000012
24;100;0,000013
182;100;0,000011
8;161;0,000011
8;98;0,000011
12;200;0,000011
90;200;0,000015
97;100;0,000010
76;200;0,000015
46;200;0,000010
72;99;0,000013
26;200;0,000014
89;100;0,000011
58;200;0,000014
25;99;0,000010
16;99;0,000013
15;99;0,000014
173;100;0,000013
172;99;0,000011
36;100;0,000011
10;186;0,000010
50;198;0,000014
172;100;0,000013
92;200;0,000014
52;198;0,000011
172;100;0,000013
23;100;0,000015
126;100;0,000013
75;100;0,000010
136;99;0,000011
42;200;0,000010
99;99;0,000010
148;100;0,000011
48;100;0,000010
133;100;0,000011
22;99;0,000010
152;100;0,000010
125;100;0,000011
96;99;0,000011
87;99;0,000011
86;200;0,000012
54;198;0,000014
80;100;0,000013
142;99;0,000010
98;100;0,000011
177;100;0,000014
115;99;0,000014
22;200;0,000010
96;200;0,000015
10;185;0,000016
83;100;0,000013
118;100;0,000010
11;192;0,000057
10;200;0,000010
167;100;0,000010
5;100;0,000010
138;100;0,000012
166;99;0,000011
67;100;0,000011
167;100;0,000011
5;194;0,000018
48;100;0,000013
9;98;0,000010
99;100;0,000010
171;100;0,000012
142;100;0,000010
9;127;0,000010
64;200;0,000012
115;100;0,000011
181;100;0,000011
176;99;0,000011
116;100;0,000014
82;200;0,000013
103;100;0,000015
80;98;0,000011
3;700;0,000153
0;400;0,000114
4;1600;0,000159
4;597;0,000145
1;600;0,000114
0;1500;0,000209
3;397;0,000112
2;500;0,000111
3;697;0,000153
1;399;0,000147
5;900;0,000121
3;300;0,000112
1;1094;0,000113
8;500;0,000116
4;800;0,000109
0;794;0,000122
8;1200;0,000109
5;700;0,000113
2;800;0,000149
7;500;0,000133
1;800;0,000177
1;596;0,000110
3;595;0,000116
4;700;0,000149
0;600;0,000108
5;500;0,000120
9;493;0,000108
0;700;0,000123
0;759;0,000110
6;300;0,000137
6;1300;0,000116
4;796;0,000157
4;800;0,000113
8;600;0,000124
9;500;0,000108
0;400;0,000155
0;699;0,000160
8;300;0,000136
0;1076;0,000170
3;794;0,000116
7;498;0,000116
9;600;0,000162
5;600;0,000109
1;797;0,000109
0;1000;0,000148
0;1000;0,000130
6;1298;0,000107
2;700;0,000112
4;500;0,000111
3;899;0,000121
3;497;0,000148
0;899;0,000111
6;500;0,000148
