Espaço restante;Prioridade acumulada;Tempo de Execução
0;2369;0,000011
4;2914;0,000015
10;2835;0,000011
14;1890;0,000011
6;2600;0,000011
8;3772;0,000011
5;4410;0,000015
5;4050;0,000011
5;2607;0,000013
7;2842;0,000011
6;1898;0,000018
4;1769;0,000010
5;4275;0,000018
6;1820;0,000015
7;2784;0,000010
0;3447;0,000011
5;3267;0,000013
5;3915;0,000013
0;2750;0,000014
5;3825;0,000014
5;3201;0,000014
8;3608;0,000014
8;3567;0,000010
4;2976;0,000011
16;1694;0,000011
0;4550;0,000010
2;1853;0,000011
7;2291;0,000011
10;3010;0,000012
5;2871;0,000011
0;4950;0,000014
7;2053;0,000011
5;2673;0,000015
10;3395;0,000013
8;2419;0,000011
0;2500;0,000011
6;2314;0,000011
6;2132;0,000015
10;2835;0,000013
5;3780;0,000015
5;3510;0,000014
6;1898;0,000011
8;2829;0,000011
6;2106;0,000012
5;3960;0,000011
6;3002;0,000014
0;3800;0,000013
10;3255;0,000016
6;3116;0,000018
5;3420;0,000013
0;4750;0,000010
8;4018;0,000014
7;1961;0,000011
8;3690;0,000014
0;4200;0,000014
7;2552;0,000016
5;3036;0,000013
5;4185;0,000011
6;2394;0,000014
6;3648;0,000013
0;3500;0,000011
10;2940;0,000014
0;3800;0,000014
10;3255;0,000010
10;2555;0,000015
7;2610;0,000013
5;3375;0,000014
5;3420;0,000014
8;4100;0,000014
5;3105;0,000011
0;2350;0,000014
10;2660;0,000014
0;1875;0,000010
5;4410;0,000014
5;4410;0,000014
8;3854;0,000014
8;3690;0,000011
0;4250;0,000015
5;3420;0,000011
10;2835;0,000013
7;2784;0,000011
7;2378;0,000014
8;3977;0,000015
1;2549;0,000014
7;2407;0,000014
5;2970;0,000013
1;2673;0,000011
6;2964;0,000014
4;3069;0,000014
6;3420;0,000013
4;2604;0,000014
8;3567;0,000024
0;3200;0,000014
0;4350;0,000014
5;3960;0,000014
0;3467;0,000014
0;4550;0,000044
8;3239;0,000014
7;1496;0,000015
5;2607;0,000014
94;174;0,000010
92;180;0,000013
86;198;0,000013
68;196;0,000011
70;198;0,000013
90;196;0,000014
26;198;0,000014
14;186;0,000011
96;196;0,000027
4;200;0,000015
78;146;0,000011
38;182;0,000014
82;172;0,000014
74;156;0,000013
68;162;0,000010
94;184;0,000013
14;166;0,000013
56;192;0,000014
74;188;0,000013
76;192;0,000014
62;196;0,000014
32;184;0,000015
52;198;0,000013
46;192;0,000011
62;200;0,000014
52;172;0,000013
72;184;0,000011
70;200;0,000011
52;198;0,000022
68;194;0,000010
36;198;0,000014
90;200;0,000013
98;170;0,000010
76;200;0,000022
100;182;0,000010
0;184;0,000010
80;192;0,000012
44;184;0,000010
58;200;0,000015
94;178;0,000014
44;176;0,000012
92;180;0,000014
100;198;0,000014
58;196;0,000010
64;180;0,000013
92;172;0,000013
50;198;0,000022
74;186;0,000010
92;200;0,000011
52;198;0,000013
60;186;0,000013
82;196;0,000012
62;196;0,000014
66;194;0,000015
92;184;0,000016
42;200;0,000011
90;182;0,000010
94;198;0,000014
80;180;0,000010
46;192;0,000010
14;168;0,000014
66;182;0,000015
82;186;0,000011
82;198;0,000016
56;192;0,000013
86;200;0,000014
82;194;0,000011
80;176;0,000022
34;180;0,000014
84;194;0,000013
26;198;0,000013
60;156;0,000015
90;180;0,000010
96;200;0,000015
36;176;0,000013
54;196;0,000012
88;198;0,000010
96;184;0,000011
94;174;0,000013
78;180;0,000010
56;172;0,000010
6;175;0,000013
96;172;0,000037
76;190;0,000013
82;158;0,000013
26;188;0,000010
96;178;0,000011
86;160;0,000014
12;196;0,000014
70;198;0,000010
98;192;0,000013
52;190;0,000011
64;200;0,000014
62;174;0,000011
100;166;0,000011
48;182;0,000011
76;184;0,000010
82;200;0,000011
98;200;0,000011
54;180;0,000010
0;4650;0,000165
0;4050;0,000175
5;3870;0,000127
5;4320;0,000128
0;4900;0,000169
5;4095;0,000171
0;4450;0,000194
0;5000;0,000170
0;4650;0,000170
0;4600;0,000323
5;4320;0,000174
0;4450;0,000125
5;4230;0,000241
0;4400;0,000173
