 50   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      0
ACCUMULATED PRIORITY: 4450
EXECUTION TIME:       0.014009600
QTY PRI VAL
[50]  89  10
[0]  87  10
[0]  95  11
[0]  78  10
[0]  91  13
[0]  85  13
[0]  77  12
[0]  89  14
[0]  75  12
[0]  75  12
[0]  94  16
[0] 100  18
[0]  99  18
[0] 100  20
[0]  99  20
[0]  81  17
[0]  83  18
[0]  96  21
[0]  64  14
[0]  50  11
[0]  56  13
[0]  80  19
[0]  96  23
[0]  41  10
[0]  57  14
[0]  84  21
[0]  48  12
[0]  91  23
[0]  75  19
[0]  51  13
[0]  80  21
[0]  98  26
[0]  49  13
[0]  82  22
[0]  78  21
[0]  62  17
[0]  51  14
[0]  78  22
[0]  95  27
[0]  69  20
[0] 100  29
[0]  77  23
[0]  79  24
[0]  85  26
[0]  62  19
[0]  75  23
[0]  94  29
[0]  58  18
[0]  83  26
[0]  54  18
[0]  54  18
[0]  98  33
[0]  68  23
[0]  82  28
[0]  29  10
[0]  81  28
[0]  52  18
[0]  68  24
[0]  39  14
[0]  99  36
[0]  63  23
[0]  87  32
[0]  62  23
[0]  97  36
[0]  78  29
[0]  80  30
[0]  40  15
[0]  45  17
[0]  98  38
[0]  85  33
[0]  38  15
[0]  70  28
[0]  57  23
[0]  81  33
[0]  81  33
[0]  81  33
[0]  90  37
[0]  93  39
[0]  90  38
[0]  89  38
[0]  86  37
[0]  88  38
[0]  55  24
[0]  48  21
[0]  65  29
[0]  29  13
[0]  82  37
[0]  73  33
[0]  42  19
[0]  66  30
[0]  96  45
[0]  70  33
[0]  72  34
[0]  63  30
[0]  86  41
[0]  81  39
[0]  92  45
[0]  51  25
[0]  96  48
[0]  97  49
[0]  81  41
[0]  57  29
[0]  90  46
[0]  86  44
[0]  70  36
[0]  93  48
[0]  89  46
[0]  58  30
[0]  52  27
[0]  55  29
[0]  70  37
[0]  83  44
[0]  49  26
[0]  98  52
[0]  96  51
[0]  75  40
[0]  45  24
[0]  55  30
[0]  53  29
[0]  62  34
[0]  84  47
[0]  75  42
[0]  78  44
[0]  88  50
[0]  86  49
[0]  77  44
[0]  73  42
[0]  99  57
[0]  38  22
[0]  79  46
[0]  87  51
[0] 100  60
[0]  55  33
[0]  94  57
[0]  55  34
[0]  97  60
[0]  84  52
[0]  96  60
[0]  16  10
[0]  83  53
[0]  97  62
[0]  25  16
[0]  57  37
[0]  29  19
[0]  70  46
[0]  41  27
[0]  59  39
[0]  62  41
[0]  80  53
[0]  75  51
[0]  98  67
[0]  84  58
[0]  77  54
[0]  47  33
[0]  91  64
[0]  41  29
[0]  22  16
[0]  77  56
[0]  96  70
[0]  41  30
[0]  68  50
[0]  80  59
[0]  74  55
[0]  76  57
[0]  61  46
[0]  74  56
[0]  55  42
[0]  17  13
[0]  85  65
[0]  91  72
[0]  78  62
[0]  50  40
[0]  97  78
[0]  88  71
[0]  55  45
[0]  44  36
[0]  79  65
[0]  93  77
[0]  78  65
[0]  19  16
[0]  64  54
[0]  45  38
[0]  26  22
[0]  54  46
[0]  86  74
[0]  79  68
[0]  80  69
[0]  82  71
[0]  68  59
[0]  91  79
[0]  32  28
[0]  88  77
[0]  73  64
[0]  99  87
[0]  60  53
[0]  88  78
[0]  80  71
[0]  78  70
[0]  90  81
[0]  74  67
[0]  55  50
[0]  56  51
[0]  57  52
[0]  70  64
[0]  25  23
[0]  68  63
[0]  96  89
[0]  29  27
[0]  73  68
[0]  74  69
[0]  66  62
[0]  51  48
[0]  69  65
[0]  19  18
[0]  44  42
[0]  94  90
[0]  47  45
[0]  49  47
[0]  54  52
[0]  55  53
[0]  29  28
[0]  30  29
[0]  93  90
[0]  95  92
[0]  67  65
[0]  90  88
[0]  51  50
[0]  68  67
[0]  81  80
[0]  85  84
[0]  36  36
[0]  81  82
[0]  69  70
[0]  55  56
[0]  78  80
[0]  38  39
[0]  70  72
[0]  63  65
[0]  94  97
[0]  57  59
[0]  54  56
[0]  99 103
[0]  49  51
[0]  42  44
[0]  98 103
[0]  78  82
