 10   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      0
ACCUMULATED PRIORITY: 1000
EXECUTION TIME:       0.000148200
QTY PRI VAL
[10] 100  50
[0] 100 115
[0] 100 179
[0] 100 168
[0] 100  52
[0] 100 196
[0] 100  33
[0] 100 185
[0] 100  35
[0]  99 177
[0]  99  72
[0]  99 124
[0]  99 186
[0]  99 106
[0]  99 104
[0]  99  36
[0]  99 200
[0]  99 115
[0]  99 198
[0]  99  54
[0]  99 182
[0]  98 161
[0]  98 190
[0]  98  76
[0]  98  43
[0]  98 192
[0]  98  83
[0]  98  94
[0]  97 134
[0]  97 142
[0]  97 109
[0]  97 159
[0]  97  47
[0]  97  76
[0]  97 140
[0]  96 157
[0]  96 198
[0]  96  90
[0]  96  11
[0]  96  27
[0]  96  96
[0]  95 152
[0]  95 129
[0]  95  13
[0]  95  14
[0]  95 104
[0]  95  94
[0]  95  74
[0]  95 177
[0]  95 143
[0]  94 141
[0]  94 157
[0]  94  80
[0]  94 124
[0]  94 152
[0]  94  80
[0]  94 122
[0]  93  20
[0]  93 129
[0]  93 179
[0]  93  24
[0]  93  67
[0]  93  24
[0]  93  43
[0]  93  74
[0]  93  81
[0]  92  92
[0]  92 140
[0]  92  95
[0]  92  93
[0]  92 186
[0]  92 192
[0]  92 161
[0]  92 193
[0]  92 131
[0]  91  63
[0]  91  33
[0]  91  62
[0]  91 165
[0]  91  24
[0]  91 178
[0]  91  93
[0]  91 142
[0]  91 176
[0]  91  92
[0]  91 137
[0]  91 128
[0]  91 189
[0]  90  73
[0]  90 195
[0]  90 191
[0]  90 132
[0]  90 116
[0]  90 112
[0]  90 165
[0]  90 136
[0]  90  52
[0]  90 175
[0]  89 192
[0]  89 131
[0]  89  58
[0]  89 166
[0]  89  79
[0]  89  56
[0]  89 165
[0]  89  93
[0]  88  68
[0]  88 121
[0]  88 112
[0]  88  42
[0]  88  58
[0]  88 137
[0]  88  49
[0]  88 121
[0]  88  59
[0]  88  34
[0]  88  86
[0]  88  26
[0]  87 106
[0]  87 124
[0]  87 169
[0]  87  57
[0]  87 145
[0]  87 166
[0]  87  59
[0]  87  67
[0]  87 138
[0]  87  26
[0]  87 128
[0]  87  61
[0]  87 111
[0]  87 195
[0]  87 142
[0]  87 187
[0]  87  63
[0]  86  46
[0]  86 170
[0]  86  88
[0]  86 142
[0]  86 198
[0]  86 166
[0]  86 109
[0]  86 151
[0]  86  20
[0]  86  20
[0]  86  51
[0]  85 136
[0]  85  48
[0]  85  27
[0]  85 141
[0]  85 192
[0]  85 200
[0]  85 108
[0]  85  17
[0]  85  73
[0]  85 134
[0]  84 131
[0]  84  49
[0]  84  86
[0]  84  20
[0]  84  33
[0]  84 123
[0]  83 198
[0]  83 193
[0]  83 157
[0]  83  71
[0]  83  71
[0]  83 121
[0]  83  12
[0]  83  24
[0]  83  41
[0]  82 139
[0]  82 144
[0]  82 171
[0]  82 133
[0]  82  62
[0]  82  58
[0]  82 158
[0]  82 200
[0]  82 155
[0]  82  88
[0]  82  90
[0]  82 155
[0]  82  82
[0]  81  48
[0]  81 197
[0]  81  68
[0]  81 161
[0]  81  57
[0]  81 166
[0]  81 114
[0]  81  62
[0]  81 135
[0]  81 120
[0]  81 198
[0]  81 166
[0]  81 169
[0]  81  49
[0]  80 121
[0]  80  94
[0]  80 157
[0]  80 113
[0]  80  81
[0]  80  34
[0]  80  67
[0]  80  43
[0]  80  94
[0]  80 104
[0]  80  23
[0]  80 173
[0]  80 135
[0]  79  71
[0]  79  13
[0]  79 187
[0]  79 108
[0]  79  76
[0]  79 189
[0]  79  42
[0]  79  16
[0]  79 171
[0]  79  13
[0]  79  46
[0]  79 103
[0]  79 113
[0]  79 150
[0]  79 136
[0]  78 123
[0]  78 199
[0]  78 145
[0]  78  22
[0]  78 149
[0]  78  91
[0]  78 119
[0]  78  54
[0]  78  47
[0]  78  67
[0]  78 173
[0]  78 162
[0]  78  58
[0]  77  83
[0]  77 161
[0]  77 161
[0]  77  19
[0]  77 152
[0]  77 200
[0]  77 104
