 50   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      0
ACCUMULATED PRIORITY: 4050
EXECUTION TIME:       0.000154700
QTY PRI VAL
[50]  81  10
[0]  96  13
[0]  87  12
[0]  85  12
[0]  90  13
[0]  90  14
[0]  75  12
[0]  84  14
[0]  69  12
[0]  74  13
[0]  84  15
[0]  78  14
[0]  92  17
[0]  90  17
[0]  97  19
[0]  93  19
[0]  87  18
[0]  57  12
[0]  79  17
[0]  94  21
[0]  77  19
[0] 100  25
[0]  48  12
[0]  79  20
[0]  89  23
[0]  73  19
[0] 100  27
[0]  92  25
[0]  66  18
[0]  97  27
[0]  57  16
[0]  96  27
[0]  71  20
[0]  46  13
[0]  56  16
[0]  87  25
[0]  69  20
[0]  48  14
[0]  58  17
[0]  75  22
[0]  44  13
[0]  37  11
[0]  73  22
[0]  94  29
[0]  97  30
[0]  80  25
[0]  64  20
[0]  67  21
[0]  76  24
[0]  57  18
[0]  38  12
[0]  98  31
[0]  72  23
[0]  74  24
[0]  67  22
[0]  69  23
[0]  98  33
[0]  71  24
[0]  65  22
[0]  50  17
[0]  87  30
[0]  66  23
[0]  57  20
[0]  51  18
[0]  84  30
[0]  86  31
[0]  49  18
[0]  49  18
[0]  57  21
[0]  95  35
[0]  27  10
[0]  66  25
[0]  28  11
[0]  71  28
[0]  67  27
[0]  79  32
[0]  66  27
[0] 100  41
[0]  51  21
[0]  77  32
[0]  67  28
[0]  31  13
[0]  42  18
[0]  95  41
[0]  48  21
[0]  77  34
[0]  51  23
[0]  84  38
[0]  46  21
[0]  61  28
[0]  99  46
[0]  47  22
[0]  94  44
[0]  55  26
[0]  98  47
[0]  41  20
[0]  86  42
[0]  47  23
[0]  47  23
[0]  94  46
[0]  57  28
[0]  59  29
[0]  83  41
[0]  68  34
[0]  98  49
[0]  42  21
[0]  82  42
[0]  60  31
[0]  89  46
[0]  85  44
[0]  54  28
[0]  81  42
[0]  79  41
[0]  72  38
[0]  51  27
[0]  77  41
[0]  60  32
[0]  93  50
[0]  91  50
[0]  45  25
[0]  94  53
[0]  85  48
[0]  92  52
[0]  86  49
[0]  87  50
[0]  19  11
[0]  69  40
[0] 100  58
[0]  98  57
[0]  55  32
[0]  34  20
[0]  61  36
[0]  77  46
[0]  92  55
[0]  35  21
[0]  48  29
[0]  92  56
[0]  44  27
[0]  67  42
[0]  51  32
[0]  60  38
[0]  85  54
[0]  96  61
[0]  53  34
[0]  96  62
[0]  74  48
[0]  24  16
[0]  18  12
[0]  70  47
[0]  31  21
[0]  22  15
[0]  63  43
[0]  95  65
[0]  76  52
[0]  19  13
[0]  73  50
[0]  29  20
[0]  75  52
[0]  82  57
[0]  23  16
[0]  56  39
[0]  69  49
[0]  74  53
[0]  82  59
[0]  36  26
[0]  44  32
[0]  70  51
[0]  97  71
[0]  19  14
[0]  81  60
[0]  89  66
[0]  74  55
[0]  71  53
[0]  92  69
[0]  69  52
[0]  29  22
[0]  75  57
[0]  81  62
[0]  47  36
[0]  60  46
[0]  82  63
[0]  26  20
[0]  57  44
[0]  81  63
[0]  90  70
[0]  90  70
[0]  59  46
[0]  32  25
[0]  88  69
[0]  57  45
[0]  97  77
[0]  44  35
[0]  88  70
[0]  93  74
[0]  79  64
[0]  53  43
[0]  33  27
[0]  72  59
[0]  96  80
[0]  67  56
[0]  68  57
[0]  68  57
[0]  31  26
[0]  96  81
[0]  92  78
[0]  68  58
[0]  28  24
[0]  78  67
[0]  80  69
[0]  91  79
[0]  48  42
[0]  89  78
[0]  61  54
[0]  97  86
[0]  72  64
[0]  77  69
[0]  87  78
[0]  55  50
[0]  77  70
[0]  35  32
[0]  12  11
[0]  75  69
[0]  67  62
[0]  94  87
[0]  42  39
[0] 100  93
[0]  86  80
[0]  16  15
[0]  64  60
[0]  85  80
[0]  22  21
[0]  47  45
[0]  96  92
[0]  99  95
[0]  54  52
[0]  94  91
[0]  94  92
[0]  81  80
[0]  86  86
[0]  40  40
[0]  36  36
[0]  72  72
[0]  15  15
[0] 100 101
[0]  91  92
[0]  76  77
[0]  63  64
[0] 100 102
[0]  45  46
[0]  35  36
[0]  94  97
[0]  28  29
[0]  77  80
[0]  99 105
[0]  65  69
[0]  94 100
[0]  62  66
[0]  44  47
[0]  43  46
[0]  76  82
[0]  74  80
[0]  59  64
[0]  92 100
[0]  77  84
[0]  97 106
[0]  75  82
[0]  42  46
[0]  81  89
[0]  70  77
[0]  94 104
[0]  37  41
[0]  62  69
[0]  53  59
[0]  70  78
[0]  67  75
[0]  50  56
[0]  90 101
[0]  99 113
[0]  56  64
[0]  74  85
[0]  45  52
[0]  62  72
[0]  91 106
[0]  48  56
[0]  75  88
[0] 100 118
[0]  11  13
[0]  96 114
[0]  74  88
[0]  97 116
[0]  51  61
[0]  56  67
[0]  35  42
[0] 100 120
[0]  94 113
[0]  83 100
[0]  61  74
[0]  87 106
[0]  27  33
[0]  31  38
[0]  70  86
[0]  65  80
[0]  30  37
[0]  64  79
[0]  34  42
[0]  76  94
[0]  87 108
[0]  73  91
[0]  89 111
[0]  76  95
[0]  86 108
[0]  72  91
[0]  91 116
[0]  65  83
[0]  36  46
[0]  97 125
[0]  72  93
[0]  96 124
[0]  92 119
[0]  92 120
[0]  49  64
[0]  83 109
[0]  54  71
[0]  95 125
[0]  98 129
[0]  41  54
[0]  44  58
[0]  75  99
[0]  77 102
[0]  61  81
[0]  42  56
[0]  98 132
[0]  46  62
[0]  74 100
[0]  84 114
[0]  95 129
[0]  61  83
[0]  19  26
[0]  64  88
[0]  88 121
[0]  40  55
[0]  92 127
[0]  81 112
[0]  62  86
[0]  38  53
[0]  43  60
[0]  90 126
[0]  79 111
[0]  74 104
[0]  83 117
[0]  80 114
[0]  42  60
[0]  88 126
[0]  66  95
[0]  75 108
[0]  84 121
[0]  86 124
[0]  90 130
[0]  94 136
[0]  50  73
[0]  54  79
[0]  54  79
[0]  86 126
[0]  79 116
[0]  68 100
[0]  87 128
[0]  53  78
[0]  36  53
[0]  92 136
[0]  77 114
[0]  87 129
[0]  66  98
[0]  66  98
[0]  68 101
[0]  99 148
[0]  74 111
[0]  69 104
[0]  80 121
[0]  35  53
[0]  99 150
[0]  64  97
[0]  85 129
[0]  79 120
[0]  34  52
[0]  15  23
[0]  75 115
[0]  99 152
[0]  80 123
[0]  91 140
[0]  76 117
[0]  61  94
[0]  90 139
[0]  98 152
[0]  76 118
[0]  73 114
[0]  39  61
[0]  92 144
[0]  58  91
[0]  69 109
[0]  12  19
[0]  86 137
[0]  91 145
[0]  94 150
[0]  96 154
[0]  67 108
[0]  57  92
[0]  87 141
[0]  83 135
[0]  94 153
[0]  86 140
[0]  78 127
[0]  46  75
[0]  93 152
[0]  44  72
[0]  61 100
[0]  86 141
[0]  76 125
[0]  48  79
[0]  96 158
[0]  54  89
[0]  54  89
[0]  94 155
[0]  77 127
[0]  98 162
[0]  52  86
[0]  81 134
[0]  81 134
[0]  70 116
[0]  41  68
[0]  56  93
[0]  59  98
[0]  74 123
[0]  75 125
[0]  81 135
[0]  70 117
[0]  77 129
[0]  91 153
[0]  85 143
[0]  96 162
[0]  45  76
[0]  94 159
[0]  65 110
[0]  49  83
[0]  59 100
[0]  86 146
[0]  86 147
[0]  31  53
[0]  83 142
[0]  58 100
[0]  91 157
[0]  11  19
[0]  93 161
[0]  30  52
[0]  92 160
[0]  62 108
[0]  97 169
[0]  63 110
[0]  65 114
[0]  46  81
[0]  63 111
[0]  38  67
[0]  93 164
[0]  82 145
[0]  96 170
[0]  31  55
[0]  18  32
[0]  71 127
[0]  90 161
[0]  81 145
[0]  53  95
[0]  93 167
[0]  59 106
[0]  76 137
[0]  73 132
[0]  84 152
[0]  37  67
[0]  49  89
[0]  61 111
[0]  28  51
[0]  73 133
[0]  75 137
[0]  58 106
[0]  96 177
[0]  77 142
[0]  62 115
[0]  76 141
[0]  43  80
[0]  59 110
[0]  37  69
[0]  45  84
[0]  98 183
[0] 100 187
[0]  70 131
[0]  88 165
[0] 100 188
[0]  77 145
[0]  56 106
[0] 100 190
[0]  92 175
[0]  62 118
[0]  95 181
[0]  78 150
[0]  75 145
[0]  72 140
[0]  37  72
[0]  59 115
[0]  99 193
[0]  43  84
[0]  67 131
[0]  84 165
[0]  56 110
[0]  66 130
[0]  68 134
[0]  75 148
[0]  77 152
[0]  91 180
[0]  75 149
[0]  76 151
[0]  79 157
[0]  82 163
[0] 100 199
[0]  76 152
[0]  60 120
[0]  62 124
[0]  78 156
[0]  28  56
[0]  43  86
[0]  79 158
[0]  47  94
[0]  96 194
[0]  90 182
[0]  75 152
[0]  35  71
[0]  64 130
[0]  56 114
[0]  26  53
[0]  66 135
[0]  95 195
[0]  63 130
