  0   0   0   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      48
ACCUMULATED PRIORITY: 200
EXECUTION TIME:       0.601953800
QTY PRI VAL
[0]  95 200
[0]  97 210
[0]  97 210
[0]  96 210
[2] 100 226
[0]  96 219
[0]  89 206
[0]  88 204
[0]  97 227
[0]  99 233
[0]  85 201
[0]  84 200
[0]  89 212
[0]  96 230
[0]  98 235
[0]  96 232
[0] 100 244
[0]  95 232
[0]  90 223
[0]  98 243
[0]  96 240
[0]  87 219
[0]  82 208
[0]  95 242
[0]  82 210
[0]  83 214
[0]  81 211
[0]  78 204
[0]  84 220
[0]  88 232
[0]  95 251
[0]  95 252
[0]  88 237
[0]  79 213
[0]  82 222
[0]  79 216
[0]  79 217
[0]  78 215
[0]  89 246
[0]  74 205
[0]  97 272
[0]  79 222
[0]  78 220
[0]  81 229
[0]  85 241
[0]  87 249
[0]  89 256
[0]  86 248
[0]  70 202
[0]  89 258
[0] 100 292
[0]  94 275
[0]  75 220
[0]  83 244
[0]  86 255
[0]  94 279
[0]  71 212
[0]  93 279
[0]  73 221
[0]  95 288
[0]  83 252
[0]  71 216
[0]  70 213
[0]  93 283
[0]  88 268
[0]  85 259
[0]  93 284
[0]  81 249
[0]  90 278
[0]  66 204
[0]  96 297
[0]  96 298
[0]  79 246
[0]  85 266
[0]  93 292
[0]  81 255
[0]  85 268
[0]  90 286
[0]  92 293
[0]  96 306
[0]  88 282
[0]  91 292
[0]  95 305
[0]  74 238
[0]  98 316
[0]  80 258
[0]  93 300
[0]  81 263
[0]  82 267
[0]  92 301
[0]  94 308
[0]  94 308
[0]  64 210
[0]  76 250
[0]  76 250
[0]  86 284
[0]  86 284
[0]  95 314
[0]  65 216
[0]  99 329
[0]  86 286
[0]  93 312
[0]  72 243
[0]  67 227
[0]  91 310
[0]  74 254
[0]  87 299
[0]  73 252
[0]  82 285
[0]  89 310
[0]  90 314
[0] 100 349
[0]  81 283
[0]  62 217
[0]  79 278
[0]  91 321
[0]  73 258
[0]  89 315
[0]  94 333
[0]  70 248
[0]  83 295
[0]  82 292
[0]  76 271
[0]  86 308
[0]  91 326
[0]  92 332
[0]  84 306
[0]  87 317
[0]  80 292
[0]  82 300
[0]  82 300
[0]  62 227
[0]  95 348
[0]  96 352
[0]  93 342
[0]  82 302
[0]  76 280
[0]  86 317
[0]  72 266
[0]  97 359
[0]  79 293
[0]  96 358
[0]  79 295
[0]  72 269
[0]  96 359
[0]  93 348
[0]  86 323
[0]  80 301
[0]  89 335
[0] 100 378
[0]  73 276
[0] 100 380
[0]  90 342
[0]  57 217
[0]  68 260
[0]  92 352
[0]  52 200
[0]  69 266
[0]  90 347
[0] 100 386
[0]  65 251
[0]  69 267
[0] 100 387
[0]  91 353
[0] 100 388
[0]  85 331
[0]  52 203
[0]  63 246
[0]  75 293
[0]  69 270
[0]  60 235
[0]  90 353
[0]  73 287
[0]  91 358
[0]  72 284
[0]  73 288
[0]  83 328
[0]  71 281
[0]  96 380
[0]  92 365
[0]  97 385
[0]  83 330
[0]  85 338
[0]  89 355
[0]  79 316
[0]  67 268
[0]  85 340
[0]  96 384
[0]  93 373
[0]  95 383
[0]  55 222
[0]  99 400
[0]  67 272
[0] 100 408
[0]  84 343
[0]  71 290
[0]  91 372
[0]  92 378
[0]  62 255
[0]  70 289
[0]  72 299
[0]  64 266
[0]  96 400
[0]  66 275
[0]  88 367
[0]  49 205
[0]  89 375
[0]  74 312
[0]  63 266
[0]  80 338
[0]  52 220
[0]  50 212
[0]  67 285
[0]  74 316
[0]  85 363
[0]  81 346
[0]  99 423
[0]  85 364
[0]  75 322
[0]  78 335
[0]  85 366
[0]  80 345
[0]  57 246
[0]  56 242
[0]  98 424
[0]  90 390
[0]  90 390
[0]  71 308
[0]  61 265
[0]  52 226
[0]  66 287
[0]  74 322
[0]  78 341
[0]  80 350
[0]  90 395
[0]  58 255
[0]  79 348
[0]  99 437
[0]  79 351
[0]  78 347
[0] 100 446
[0]  90 402
[0]  94 422
[0] 100 449
[0]  77 346
[0]  50 225
