  1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      3
ACCUMULATED PRIORITY: 193
EXECUTION TIME:       0.000129500
QTY PRI VAL
[1] 100 297
[0] 100 330
[0] 100 293
[0] 100 282
[0] 100 286
[0] 100 421
[0] 100 463
[0] 100 393
[0] 100 351
[0] 100 353
[0] 100 269
[0] 100 215
[0]  99 315
[0]  99 421
[0]  99 432
[0]  99 285
[0]  99 402
[0]  99 210
[0]  99 382
[0]  99 267
[0]  99 421
[0]  98 314
[0]  98 302
[0]  98 355
[0]  98 366
[0]  98 224
[0]  98 345
[0]  98 400
[0]  98 336
[0]  98 251
[0]  98 408
[0]  97 342
[0]  97 369
[0]  97 262
[0]  97 252
[0]  97 260
[0]  97 431
[0]  97 211
[0]  97 323
[0]  97 373
[0]  97 282
[0]  96 382
[0]  96 383
[0]  96 445
[0]  96 485
[0]  96 457
[0]  96 447
[0]  96 462
[0]  96 233
[0]  96 235
[0]  96 300
[0]  96 246
[0]  96 495
[0]  96 230
[0]  96 273
[0]  96 335
[0]  96 225
[0]  96 228
[0]  95 237
[0]  95 278
[0]  95 370
[0]  95 356
[0]  95 401
[0]  95 406
[0]  95 289
[0]  95 351
[0]  95 429
[0]  95 253
[0]  95 495
[0]  94 464
[0]  94 449
[0]  94 462
[0]  94 319
[0]  94 361
[0]  93 328
[0]  93 279
[0]  93 234
[1]  93 200
[0]  93 495
[0]  93 316
[0]  93 476
[0]  92 257
[0]  92 306
[0]  92 429
[0]  92 472
[0]  92 434
[0]  92 468
[0]  92 479
[0]  92 429
[0]  92 477
[0]  92 279
[0]  92 443
[0]  92 386
[0]  92 297
[0]  92 385
[0]  92 424
[0]  92 313
[0]  91 448
[0]  91 468
[0]  91 476
[0]  91 229
[0]  91 359
[0]  91 213
[0]  91 399
[0]  91 380
[0]  91 200
[0]  90 294
[0]  90 487
[0]  90 445
[0]  90 253
[0]  90 452
[0]  90 442
[0]  90 268
[0]  90 285
[0]  90 490
[0]  90 352
[0]  89 302
[0]  89 452
[0]  89 339
[0]  89 394
[0]  89 218
[0]  89 252
[0]  89 460
[0]  89 405
[0]  88 407
[0]  88 280
[0]  88 221
[0]  88 312
[0]  88 379
[0]  88 473
[0]  88 409
[0]  88 498
[0]  88 227
[0]  87 288
[0]  87 381
[0]  87 263
[0]  87 294
[0]  87 313
[0]  87 258
[0]  86 326
[0]  86 252
[0]  86 410
[0]  86 465
[0]  86 405
[0]  86 488
[0]  86 336
[0]  86 343
[0]  86 326
[0]  85 446
[0]  85 413
[0]  85 483
[0]  85 438
[0]  85 414
[0]  85 259
[0]  85 291
[0]  85 203
[0]  85 433
[0]  85 434
[0]  85 376
[0]  85 373
[0]  85 328
[0]  84 437
[0]  84 259
[0]  84 448
[0]  84 298
[0]  84 270
[0]  84 421
[0]  84 201
[0]  84 292
[0]  84 447
[0]  83 354
[0]  83 360
[0]  83 360
[0]  83 256
[0]  83 315
[0]  83 371
[0]  83 227
[0]  83 248
[0]  83 205
[0]  83 240
[0]  83 328
[0]  83 213
[0]  83 405
[0]  83 399
[0]  83 422
[0]  82 440
[0]  82 457
[0]  82 494
[0]  82 209
[0]  82 331
[0]  82 314
[0]  82 274
[0]  82 341
[0]  82 448
[0]  82 450
[0]  82 386
[0]  81 305
[0]  81 399
[0]  81 308
[0]  81 438
[0]  81 485
[0]  81 266
[0]  81 371
[0]  81 251
[0]  81 360
[0]  81 321
[0]  81 267
[0]  81 224
[0]  81 497
[0]  81 475
[0]  81 451
[0]  81 232
[0]  81 455
[0]  81 246
[0]  80 274
[0]  80 238
[0]  80 492
[0]  80 313
[0]  80 446
[0]  80 344
[0]  80 266
[0]  80 251
[0]  80 254
[0]  80 456
[0]  80 219
[0]  80 281
[0]  80 309
[0]  79 231
[0]  79 259
[0]  79 225
[0]  79 498
[0]  79 203
[0]  79 432
[0]  78 476
[0]  78 376
[0]  78 350
[0]  78 209
[0]  78 383
[0]  78 471
[0]  78 248
[0]  78 220
[0]  78 279
[0]  78 293
[0]  78 385
[0]  77 458
[0]  77 256
[0]  77 474
[0]  77 372
[0]  77 304
[0]  77 309
[0]  77 293
[0]  77 238
[0]  77 462
[0]  77 261
[0]  77 429
[0]  77 451
[0]  77 419
[0]  77 211
[0]  77 307
[0]  76 334
[0]  76 295
[0]  76 397
[0]  76 366
[0]  76 233
[0]  76 301
[0]  76 481
[0]  76 496
[0]  76 404
[0]  76 420
[0]  76 430
[0]  76 443
[0]  76 478
[0]  76 245
[0]  75 466
[0]  75 297
[0]  75 399
[0]  75 208
[0]  75 349
[0]  75 225
[0]  75 377
[0]  75 435
[0]  75 392
[0]  75 203
[0]  74 404
[0]  74 288
[0]  74 211
[0]  74 346
[0]  74 282
[0]  74 316
[0]  74 428
[0]  74 436
[0]  74 442
[0]  74 223
[0]  74 386
[0]  74 299
[0]  73 473
[0]  73 470
[0]  73 388
[0]  73 408
[0]  73 390
[0]  73 444
[0]  73 257
[0]  73 330
[0]  73 487
[0]  73 352
[0]  73 409
[0]  73 329
[0]  72 383
[0]  72 215
[0]  72 300
[0]  72 336
[0]  72 438
[0]  72 383
[0]  72 310
[0]  72 452
[0]  71 253
[0]  71 247
[0]  71 273
[0]  71 368
[0]  71 464
[0]  71 363
[0]  71 291
[0]  71 457
[0]  71 358
[0]  70 224
[0]  70 351
[0]  70 320
[0]  70 331
[0]  70 488
[0]  70 415
[0]  70 408
[0]  70 373
[0]  70 353
[0]  70 481
[0]  70 491
[0]  70 349
[0]  69 320
[0]  69 444
[0]  69 255
[0]  69 440
[0]  69 498
[0]  69 370
[0]  69 275
[0]  69 369
[0]  69 249
[0]  68 284
[0]  68 381
[0]  68 427
[0]  68 484
[0]  68 365
[0]  68 497
[0]  68 250
[0]  68 440
[0]  67 301
[0]  67 382
[0]  67 321
[0]  67 339
[0]  67 233
[0]  67 464
[0]  67 466
[0]  67 362
[0]  66 364
[0]  66 224
[0]  66 435
[0]  66 453
[0]  66 238
[0]  66 362
[0]  66 376
[0]  66 473
[0]  66 266
[0]  66 312
[0]  66 464
[0]  66 453
[0]  66 408
[0]  66 284
[0]  66 267
[0]  65 273
[0]  65 205
[0]  65 226
[0]  65 316
[0]  65 486
[0]  65 205
[0]  65 493
[0]  65 333
[0]  65 385
[0]  65 490
[0]  65 436
[0]  64 319
[0]  64 347
[0]  64 422
[0]  64 219
[0]  64 348
[0]  64 471
[0]  64 223
[0]  64 325
[0]  64 409
[0]  64 369
[0]  63 368
[0]  63 224
[0]  63 219
[0]  63 306
[0]  63 485
[0]  63 387
[0]  63 292
[0]  63 329
[0]  63 303
[0]  63 355
[0]  63 429
[0]  63 273
[0]  63 486
[0]  63 335
[0]  62 380
[0]  62 375
[0]  62 303
[0]  62 447
[0]  62 439
[0]  62 456
[0]  62 333
[0]  62 395
[0]  61 304
[0]  61 421
[0]  61 420
[0]  61 414
[0]  61 227
[0]  61 468
[0]  61 454
[0]  61 272
[0]  61 456
[0]  61 207
[0]  61 244
[0]  61 401
[0]  61 251
[0]  60 306
[0]  60 318
[0]  60 220
[0]  60 237
[0]  60 280
[0]  60 246
[0]  60 495
[0]  60 496
[0]  60 421
[0]  60 444
[0]  60 373
[0]  60 497
[0]  59 204
[0]  59 418
[0]  59 309
[0]  59 372
[0]  59 283
[0]  59 365
[0]  59 484
[0]  59 394
[0]  59 346
[0]  59 321
[0]  59 370
