  1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      0
ACCUMULATED PRIORITY: 60
EXECUTION TIME:       0.000114100
QTY PRI VAL
[1]  60 500
[0]  90 500
[0]  70 499
[0]  16 499
[0]  13 499
[0]  33 498
[0]  35 498
[0]  83 498
[0]  51 498
[0]  27 498
[0]  14 498
[0]  78 498
[0]  73 497
[0]  74 497
[0]  12 497
[0]  82 497
[0]  89 497
[0]  35 496
[0]  85 495
[0]  66 495
[0]  47 495
[0]  59 495
[0]  68 495
[0]  36 494
[0]  24 494
[0]  90 493
[0]  79 493
[0]  37 493
[0]  17 493
[0]  23 493
[0]  97 493
[0]  47 493
[0]  99 493
[0]  28 493
[0]  76 492
[0]  13 492
[0]  64 491
[0]  53 491
[0]  29 491
[0]  82 491
[0]  75 490
[0]  69 490
[0]  47 489
[0]  21 489
[0]  65 489
[0]  12 488
[0]  82 488
[0]  45 487
[0]  70 487
[0]  97 487
[0]  33 487
[0]  32 487
[0]  77 486
[0]  64 486
[0]  15 486
[0]  81 486
[0]  71 486
[0]  10 486
[0]  61 486
[0]  33 486
[0]  77 485
[0]  75 485
[0]  72 485
[0]  36 485
[0]  14 484
[0]  14 484
[0]  71 484
[0]  87 484
[0]  69 483
[0]  47 483
[0]  72 482
[0]  53 481
[0]  18 481
[0]  74 481
[0]  97 481
[0]  13 481
[0]  73 480
[0]  95 480
[0]  47 479
[0]  86 478
[0]  11 478
[0]  40 477
[0]  23 477
[0]  57 476
[0]  20 476
[0]  94 476
[0]  56 475
[0]  28 475
[0]  46 475
[0]  24 474
[0]  96 474
[0]  47 474
[0]  61 474
[0]  33 473
[0]  78 473
[0]  87 473
[0]  14 473
[0]  80 473
[0]  45 473
[0]  45 473
[0]  41 473
[0]  92 473
[0]  21 473
[0]  20 472
[0]  40 472
[0]  35 472
[0]  43 471
[0]  29 471
[0]  60 470
[0] 100 469
[0]  23 469
[0]  65 469
[0]  53 468
[0]  74 468
[0]  28 467
[0]  29 467
[0]  46 467
[0]  35 466
[0]  48 466
[0]  68 466
[0]  18 466
[0]  64 464
[0]  21 464
[0]  72 463
[0]  13 463
[0]  85 463
[0]  26 463
[0]  69 463
[0]  23 463
[0]  43 462
[0]  52 462
[0]  51 462
[0]  75 462
[0]  38 462
[0]  49 461
[0]  83 461
[0]  48 461
[0]  73 460
[0]  31 459
[0]  98 459
[0]  96 459
[0]  60 459
[0]  74 459
[0]  96 459
[0] 100 459
[0]  25 458
[0]  39 458
[0]  29 458
[0]  44 457
[0]  46 457
[0]  89 457
[0]  37 457
[0]  60 457
[0]  80 456
[0]  65 456
[0]  45 456
[0]  81 456
[0]  32 455
[0]  20 455
[0]  74 455
[0]  92 455
[0]  83 454
[0]  57 454
[0]  47 454
[0]  53 454
[0]  65 454
[0]  73 454
[0]  77 454
[0]  24 454
[0]  86 453
[0]  27 453
[0]  92 453
[0]  86 452
[0]  73 452
[0]  40 452
[0]  58 451
[0]  36 451
[0]  84 450
[0]  32 449
[0]  70 449
[0]  25 449
[0]  76 449
[0]  97 449
[0]  91 448
[0]  54 448
[0]  34 448
[0]  38 448
[0]  34 447
[0]  37 446
[0]  48 445
[0]  91 445
[0]  68 445
[0]  20 444
[0]  55 444
[0]  57 444
[0]  65 444
[0]  90 444
[0]  57 444
[0]  31 444
[0]  72 443
[0]  87 443
[0]  82 443
[0]  92 442
[0]  86 442
[0]  63 442
[0]  46 442
[0]  40 441
[0]  33 441
[0]  55 441
[0]  99 441
[0]  36 441
[0]  19 440
[0]  45 440
[0]  98 440
[0]  61 440
[0]  88 439
[0] 100 439
[0]  10 438
[0]  51 437
[0]  81 437
[0]  82 437
[0]  46 437
[0]  67 437
[0]  96 436
[0]  97 436
[0]  99 436
[0]  50 436
[0]  65 436
[0]  21 436
[0]  70 435
[0]  45 435
[0]  58 434
[0]  10 434
[0]  69 434
[0]  87 434
[0]  42 434
[0]  14 433
[0]  89 433
[0] 100 433
[0]  74 433
[0]  70 433
[0]  51 432
[0]  40 432
[0]  63 431
[0]  39 431
[0]  75 431
