 26   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      6
ACCUMULATED PRIORITY: 2600
EXECUTION TIME:       0.000010400
QTY PRI VAL
[26] 100  19
[0] 100 177
[0] 100  32
[0]  97 191
[0]  97  33
[0]  96 117
[0]  95 120
[0]  94 172
[0]  93 163
[0]  92  54
[0]  92 123
[0]  91 155
[0]  90  56
[0]  88  95
[0]  88  86
[0]  87  84
[0]  87 121
[0]  86 129
[0]  86 187
[0]  83 185
[0]  83  99
[0]  80  43
[0]  79 178
[0]  79 129
[0]  78 181
[0]  77  91
[0]  76  62
[0]  76 156
[0]  74 182
[0]  74 108
[0]  74  26
[0]  72  37
[0]  71  27
[0]  71  43
[0]  71 131
[0]  70 185
[0]  70  51
[0]  67 112
[0]  67 106
[0]  66 132
[0]  66 151
[0]  65 137
[0]  63  70
[0]  60  28
[0]  60  24
[0]  59 182
[0]  57 137
[0]  55  54
[0]  55  10
[0]  55 198
[0]  52 196
[0]  52  22
[0]  51  53
[0]  51  76
[0]  48  64
[0]  48  23
[0]  48  40
[0]  46  87
[0]  46 188
[0]  45 123
[0]  44  20
[0]  42 194
[0]  41  83
[0]  40 157
[0]  37 175
[0]  36 106
[0]  34 110
[0]  33  98
[0]  32 169
[0]  32 148
[0]  30 148
[0]  30  19
[0]  29 124
[0]  28  57
[0]  25 158
[0]  24  40
[0]  24 194
[0]  23  17
[0]  22 131
[0]  22 129
[0]  21  87
[0]  21 109
[0]  20 194
[0]  20  53
[0]  19  76
[0]  19 141
[0]  18  91
[0]  17  57
[0]  17 132
[0]  16  66
[0]  16  45
[0]  16 101
[0]  16  70
[0]  15 148
[0]  12 186
[0]  12 157
[0]  11  63
[0]  11  21
[0]  11  66
[0]  10  50
