  2  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      6
ACCUMULATED PRIORITY: 1784
EXECUTION TIME:       0.000011100
QTY PRI VAL
[2] 100 167
[16]  99  10
[0]  98  13
[0]  98  69
[0]  98  11
[0]  97 193
[0]  96 122
[0]  96 140
[0]  95 183
[0]  95 189
[0]  94 158
[0]  94  92
[0]  93  41
[0]  93  40
[0]  93  73
[0]  92 148
[0]  92  71
[0]  92  18
[0]  90 105
[0]  90  69
[0]  88  44
[0]  87 180
[0]  87 142
[0]  87 182
[0]  84 114
[0]  84 110
[0]  80  29
[0]  79  83
[0]  78 143
[0]  77  97
[0]  77  83
[0]  76 129
[0]  75 152
[0]  74 151
[0]  73  56
[0]  73 105
[0]  70  29
[0]  70 162
[0]  70 153
[0]  70 100
[0]  69  18
[0]  66 177
[0]  62 136
[0]  62  55
[0]  62 175
[0]  61 155
[0]  58 123
[0]  57 193
[0]  52 152
[0]  51  46
[0]  51 177
[0]  51  58
[0]  50 147
[0]  47 177
[0]  45  87
[0]  45  54
[0]  44  71
[0]  44 117
[0]  43  65
[0]  43 153
[0]  42  19
[0]  42 177
[0]  42 183
[0]  41  49
[0]  41  46
[0]  41 135
[0]  39 184
[0]  39 158
[0]  39  78
[0]  37 108
[0]  35  46
[0]  34  24
[0]  34 175
[0]  34  12
[0]  33  25
[0]  33  87
[0]  32  80
[0]  32 198
[0]  31 150
[0]  30  52
[0]  27 170
[0]  25 184
[0]  24 111
[0]  22 157
[0]  21  38
[0]  20 171
[0]  19 147
[0]  19 139
[0]  19 200
[0]  19  88
[0]  18 158
[0]  17  21
[0]  16  72
[0]  15 156
[0]  15 164
[0]  14 113
[0]  13 181
[0]  13  78
[0]  12 154
[0]  10 161
