 40   6   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      0
ACCUMULATED PRIORITY: 3390
EXECUTION TIME:       0.009910400
QTY PRI VAL
[40]  75  11
[6]  65  10
[0]  66  15
[0]  83  20
[0]  98  24
[0]  58  18
[0]  48  18
[0]  48  19
[0]  30  13
[0]  62  27
[0]  77  35
[0]  50  23
[0]  80  37
[0]  75  38
[0]  91  49
[0]  58  34
[0]  49  29
[0]  57  36
[0]  68  45
[0] 100  69
[0]  45  33
[0]  78  59
[0]  64  49
[0]  97  75
[0]  55  47
[0]  93  82
[0]  12  11
[0]  94 100
[0]  45  48
[0]  99 109
[0]  17  19
[0]  77  89
[0]  87 101
[0]  94 110
[0]  54  65
[0]  29  35
[0]  28  34
[0]  93 113
[0]  88 107
[0]  56  72
[0]  99 128
[0]  77 100
[0]  73  98
[0]  61  89
[0]  94 138
[0]  52  80
[0]  90 140
[0]  33  52
[0]  81 129
[0]  98 157
[0]  85 138
[0]  48  80
[0]  64 107
[0]  89 152
[0]  47  81
[0]  64 113
[0]  25  45
[0]  91 164
[0]  99 180
[0]  62 113
[0]  14  26
[0]  18  34
[0]  37  70
[0]  77 147
[0]  63 121
[0]  41  81
[0]  49  97
[0]  23  48
[0]  75 159
[0]  56 123
[0]  51 114
[0]  50 113
[0]  69 157
[0]  64 146
[0]  78 185
[0]  43 104
[0]  18  45
[0]  73 185
[0]  46 118
[0]  30  97
[0]  44 144
[0]  33 108
[0]  61 200
[0]  49 168
[0]  32 110
[0]  41 141
[0]  13  45
[0]  32 126
[0]  43 171
[0]  48 192
[0]  35 141
[0]  44 178
[0]  30 122
[0]  26 133
[0]  30 177
[0]  28 171
[0]  11  96
[0]  13 115
[0]  18 197
[0]  15 190
