 45   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      5
ACCUMULATED PRIORITY: 3105
EXECUTION TIME:       0.000011300
QTY PRI VAL
[45]  69  11
[0]  62  11
[0]  79  15
[0]  57  12
[0]  79  17
[0]  50  11
[0]  87  21
[0]  91  23
[0]  94  27
[0]  98  31
[0]  92  33
[0]  96  36
[0]  70  27
[0]  85  33
[0]  91  41
[0]  62  28
[0]  31  15
[0]  68  37
[0]  40  22
[0]  85  48
[0]  54  31
[0]  33  19
[0]  33  19
[0]  86  54
[0]  49  32
[0]  90  66
[0]  38  32
[0]  75  64
[0]  76  67
[0]  72  70
[0]  17  18
[0] 100 110
[0]  95 107
[0]  81  93
[0]  83  97
[0]  46  54
[0]  98 122
[0]  46  58
[0]  74 100
[0]  76 105
[0]  82 118
[0]  38  55
[0]  94 142
[0]  30  46
[0]  92 143
[0]  70 112
[0]  45  72
[0]  97 157
[0]  95 154
[0]  82 136
[0]  89 152
[0]  87 150
[0]  85 153
[0]  85 154
[0]  79 146
[0]  54 100
[0]  48  91
[0]  65 125
[0]  40  78
[0]  88 172
[0]  97 193
[0]  94 193
[0]  73 151
[0]  41  85
[0]  55 119
[0]  81 176
[0]  45  98
[0]  46 102
[0]  62 143
[0]  42  97
[0]  67 155
[0]  78 183
[0]  16  39
[0]  68 171
[0]  73 186
[0]  39 103
[0]  54 144
[0]  62 176
[0]  66 194
[0]  21  66
[0]  51 161
[0]  47 169
[0]  44 165
[0]  39 150
[0]  49 191
[0]  19  77
[0]  44 186
[0]  30 133
[0]  39 193
[0]  27 161
[0]  29 174
[0]  27 168
[0]  23 146
[0]  30 197
[0]  21 150
[0]  21 170
[0]  18 149
[0]  14 116
[0]  19 169
[0]  18 175
