  1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
REMAINING SPACE:      16
ACCUMULATED PRIORITY: 184
EXECUTION TIME:       0.008740100
QTY PRI VAL
[1]  88 228
[1]  96 256
[0]  93 262
[0]  74 210
[0]  90 258
[0]  69 226
[0]  89 294
[0]  94 318
[0]  88 301
[0]  88 304
[0]  73 256
[0]  97 347
[0]  98 362
[0]  61 231
[0]  78 297
[0]  85 324
[0]  76 291
[0]  76 299
[0]  71 292
[0]  52 214
[0]  64 278
[0]  76 331
[0]  92 402
[0]  79 347
[0]  53 236
[0]  65 297
[0]  95 435
[0]  75 346
[0]  80 372
[0]  83 389
[0]  71 338
[0]  79 380
[0]  64 311
[0]  90 440
[0]  99 484
[0]  88 453
[0]  87 451
[0]  47 245
[0]  89 469
[0]  50 266
[0]  93 496
[0]  62 333
[0]  52 310
[0]  77 468
[0]  70 429
[0]  64 395
[0]  73 453
[0]  44 275
[0]  71 455
[0]  61 399
[0]  65 426
[0]  57 386
[0]  55 374
[0]  59 410
[0]  55 384
[0]  52 374
[0]  64 474
[0]  40 304
[0]  64 491
[0]  57 447
[0]  33 264
[0]  61 496
[0]  46 376
[0]  52 431
[0]  37 307
[0]  31 259
[0]  53 448
[0]  49 415
[0]  49 422
[0]  35 312
[0]  47 423
[0]  30 270
[0]  34 308
[0]  22 212
[0]  38 367
[0]  31 302
[0]  44 429
[0]  38 376
[0]  48 492
[0]  31 319
[0]  47 490
[0]  34 360
[0]  33 353
[0]  27 299
[0]  40 463
[0]  29 337
[0]  19 242
[0]  35 476
[0]  23 314
[0]  29 414
[0]  23 363
[0]  18 330
[0]  22 417
[0]  21 409
[0]  11 230
[0]  19 403
[0]  18 474
[0]  14 472
[0]  12 425
[0]  12 469
